Slope_Angle,Rainfall_Intensity_mmh,Rainfall_Infiltration_sec,Evaluation
60,1,1,Medium Risk
61,4,5,Medium Risk
62,7,9,Medium Risk
63,10,13,Medium Risk
64,13,17,Medium Risk
65,16,21,Medium Risk
66,19,25,Medium Risk
67,22,29,Medium Risk
68,25,33,Medium Risk
69,28,37,Medium Risk
70,31,41,Medium Risk
71,34,45,Medium Risk
72,37,49,Medium Risk
73,40,53,Medium Risk
74,43,57,Medium Risk
75,46,61,Medium Risk
76,49,65,Medium Risk
77,52,69,Medium Risk
78,55,73,Medium Risk
79,58,77,Medium Risk
80,61,81,Medium Risk
81,64,85,Medium Risk
82,67,89,Medium Risk
83,70,93,Medium Risk
84,73,97,Medium Risk
85,76,101,Medium Risk
86,79,105,Medium Risk
87,82,109,Medium Risk
88,85,113,Medium Risk
89,88,117,Medium Risk
90,91,1,High Risk
89,94,5,High Risk
88,97,9,High Risk
87,100,13,High Risk
86,1,17,Medium Risk
85,4,21,Medium Risk
84,7,25,Medium Risk
83,10,29,Medium Risk
82,13,33,Medium Risk
81,16,37,Medium Risk
80,19,41,Medium Risk
79,22,45,Medium Risk
78,25,49,Medium Risk
77,28,53,Medium Risk
76,31,57,Medium Risk
75,34,61,Medium Risk
74,37,65,Medium Risk
73,40,69,Medium Risk
72,43,73,Medium Risk
71,46,77,Medium Risk
70,49,81,Medium Risk
69,52,85,Medium Risk
68,55,89,Medium Risk
67,58,93,Medium Risk
66,61,97,Medium Risk
65,64,101,Medium Risk
64,67,105,Medium Risk
63,70,109,Medium Risk
62,73,113,Medium Risk
61,76,117,Medium Risk
60,79,1,Medium Risk
61,82,5,Medium Risk
62,85,9,Medium Risk
63,88,13,Medium Risk
64,91,17,Medium Risk
65,94,21,Medium Risk
66,97,25,Medium Risk
67,100,29,Medium Risk
68,1,33,Medium Risk
69,4,37,Medium Risk
70,7,41,Medium Risk
71,10,45,Medium Risk
72,13,49,Medium Risk
73,16,53,Medium Risk
74,19,57,Medium Risk
75,22,61,Medium Risk
76,25,65,Medium Risk
77,28,69,Medium Risk
78,31,73,Medium Risk
79,34,77,Medium Risk
80,37,81,Medium Risk
81,40,85,Medium Risk
82,43,89,Medium Risk
83,46,93,Medium Risk
84,49,97,Medium Risk
85,52,101,Medium Risk
86,55,105,Medium Risk
87,58,109,Medium Risk
88,61,113,Medium Risk
89,64,117,Medium Risk
90,67,1,Medium Risk
89,70,5,High Risk
88,73,9,High Risk
87,76,13,High Risk
86,79,17,High Risk
85,82,21,High Risk
84,85,25,High Risk
83,88,29,High Risk
82,91,33,High Risk
81,94,37,High Risk
80,97,41,Medium Risk
79,100,45,Medium Risk
78,1,49,Medium Risk
77,4,53,Medium Risk
76,7,57,Medium Risk
75,10,61,Medium Risk
74,13,65,Medium Risk
73,16,69,Medium Risk
72,19,73,Medium Risk
71,22,77,Medium Risk
70,25,81,Low Risk
69,28,85,Low Risk
68,31,89,Medium Risk
67,34,93,Medium Risk
66,37,97,Medium Risk
65,40,101,Medium Risk
64,43,105,Medium Risk
63,46,109,Medium Risk
62,49,113,Medium Risk
61,52,117,Medium Risk
60,55,1,Medium Risk
61,58,5,Medium Risk
62,61,9,Medium Risk
63,64,13,Medium Risk
64,67,17,Medium Risk
65,70,21,Medium Risk
66,73,25,Medium Risk
67,76,29,Medium Risk
68,79,33,Medium Risk
69,82,37,Medium Risk
70,85,41,Medium Risk
71,88,45,Medium Risk
72,91,49,Medium Risk
73,94,53,Medium Risk
74,97,57,Medium Risk
75,100,61,Medium Risk
76,1,65,Medium Risk
77,4,69,Medium Risk
78,7,73,Medium Risk
79,10,77,Medium Risk
80,13,81,Medium Risk
81,16,85,Medium Risk
82,19,89,Medium Risk
83,22,93,Medium Risk
84,25,97,Medium Risk
85,28,101,Medium Risk
86,31,105,Medium Risk
87,34,109,Medium Risk
88,37,113,Medium Risk
89,40,117,Medium Risk
90,43,1,Medium Risk
89,46,5,Medium Risk
88,49,9,Medium Risk
87,52,13,Medium Risk
86,55,17,Medium Risk
85,58,21,Medium Risk
84,61,25,Medium Risk
83,64,29,Medium Risk
82,67,33,Medium Risk
81,70,37,High Risk
80,73,41,Medium Risk
79,76,45,Medium Risk
78,79,49,Medium Risk
77,82,53,Medium Risk
76,85,57,Medium Risk
75,88,61,Medium Risk
74,91,65,Medium Risk
73,94,69,Medium Risk
72,97,73,Medium Risk
71,100,77,Medium Risk
70,1,81,Low Risk
69,4,85,Low Risk
68,7,89,Low Risk
67,10,93,Low Risk
66,13,97,Low Risk
65,16,101,Low Risk
64,19,105,Low Risk
63,22,109,Low Risk
62,25,113,Low Risk
61,28,117,Low Risk
60,31,1,Medium Risk
61,34,5,Medium Risk
62,37,9,Medium Risk
63,40,13,Medium Risk
64,43,17,Medium Risk
65,46,21,Medium Risk
66,49,25,Medium Risk
67,52,29,Medium Risk
68,55,33,Medium Risk
69,58,37,Medium Risk
70,61,41,Medium Risk
71,64,45,Medium Risk
72,67,49,Medium Risk
73,70,53,Medium Risk
74,73,57,Medium Risk
75,76,61,Medium Risk
76,79,65,Medium Risk
77,82,69,Medium Risk
78,85,73,Medium Risk
79,88,77,Medium Risk
80,91,81,Medium Risk
81,94,85,Medium Risk
82,97,89,Medium Risk
83,100,93,Medium Risk
84,1,97,Medium Risk
85,4,101,Medium Risk
86,7,105,Medium Risk
87,10,109,Medium Risk
88,13,113,Medium Risk
89,16,117,Medium Risk
90,19,1,Medium Risk
89,22,5,Medium Risk
88,25,9,Medium Risk
87,28,13,Medium Risk
86,31,17,Medium Risk
85,34,21,Medium Risk
84,37,25,Medium Risk
83,40,29,Medium Risk
82,43,33,Medium Risk
81,46,37,Medium Risk
80,49,41,Medium Risk
79,52,45,Medium Risk
78,55,49,Medium Risk
77,58,53,Medium Risk
76,61,57,Medium Risk
75,64,61,Medium Risk
74,67,65,Medium Risk
73,70,69,Medium Risk
72,73,73,Medium Risk
71,76,77,Medium Risk
70,79,81,Medium Risk
69,82,85,Medium Risk
68,85,89,Medium Risk
67,88,93,Medium Risk
66,91,97,Medium Risk
65,94,101,Medium Risk
64,97,105,Medium Risk
63,100,109,Medium Risk
62,1,113,Low Risk
61,4,117,Low Risk
60,7,1,Medium Risk
61,10,5,Medium Risk
62,13,9,Medium Risk
63,16,13,Medium Risk
64,19,17,Medium Risk
65,22,21,Medium Risk
66,25,25,Medium Risk
67,28,29,Medium Risk
68,31,33,Medium Risk
